,sector laitude,sector longtitude,Collisions_NUMBER OF PERSONS INJURED,Collisions_NUMBER OF PERSONS KILLED,Collisions_NUMBER OF PEDESTRIANS INJURED,Collisions_NUMBER OF PEDESTRIANS KILLED,Collisions_NUMBER OF CYCLIST INJURED,Collisions_NUMBER OF CYCLIST KILLED,Collisions_NUMBER OF MOTORIST INJURED,Collisions_NUMBER OF MOTORIST KILLED,Collisions_CONTRIBUTING FACTOR VEHICLE 1,Collisions_CONTRIBUTING FACTOR VEHICLE 2,Collisions_CONTRIBUTING FACTOR VEHICLE 3,Collisions_CONTRIBUTING FACTOR VEHICLE 4,Collisions_CONTRIBUTING FACTOR VEHICLE 5,Collisions_VEHICLE TYPE CODE 1,Collisions_VEHICLE TYPE CODE 2,Collisions_VEHICLE TYPE CODE 3,Collisions_VEHICLE TYPE CODE 4,Collisions_VEHICLE TYPE CODE 5
204,40.60951525,-73.96876564,0.2719409819384381,0.0027982701602645636,0.07504451793436785,0.0017807173747138134,0.02569320783515645,0.0005087763927753752,0.16942253879419994,0.0002543881963876876,Driver Inattention/Distraction,Driver Inattention/Distraction,Passing or Lane Usage Improper,Unspecified,Unspecified,Sedan,Sedan,Sedan,PASSENGER VEHICLE,PASSENGER VEHICLE
205,40.60951525,-73.95760078,0.3433322464949462,0.0006521030322791001,0.09553309422888817,0.0006521030322791001,0.027388327355722206,0.0,0.21878056732963808,0.0,Driver Inattention/Distraction,Driver Inattention/Distraction,Passing or Lane Usage Improper,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,Sedan
206,40.60951525,-73.94643592,0.3090151120375195,0.0010422094841063053,0.07087024491922876,0.0005211047420531526,0.02501302761855133,0.0,0.21208963001563313,0.0005211047420531526,Driver Inattention/Distraction,Driver Inattention/Distraction,Other Vehicular,Unspecified,Unspecified,Sedan,Sedan,Sedan,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
207,40.60951525,-73.93527106,0.29030927835051545,0.002474226804123711,0.047010309278350516,0.0008247422680412372,0.013608247422680412,0.0,0.2292783505154639,0.0016494845360824743,Driver Inattention/Distraction,Driver Inattention/Distraction,Other Vehicular,Other Vehicular,Other Vehicular,Sedan,Sedan,Sedan,Sedan,Sedan
208,40.60951525,-73.9241062,0.2418166939443535,0.0016366612111292963,0.057692307692307696,0.0004091653027823241,0.014729950900163666,0.0,0.16939443535188217,0.0012274959083469722,Driver Inattention/Distraction,Driver Inattention/Distraction,Other Vehicular,Fatigued/Drowsy,Unspecified,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE
209,40.60951525,-73.91294134,0.21903052064631956,0.0,0.04847396768402154,0.0,0.012567324955116697,0.0,0.15798922800718132,0.0,Driver Inattention/Distraction,Driver Inattention/Distraction,Other Vehicular,Other Vehicular,Other Vehicular,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan
210,40.60951525,-73.90177648000001,0.40497737556561086,0.0,0.0,0.0,0.0022624434389140274,0.0,0.40497737556561086,0.0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle
211,40.60951525,-73.82362246000001,0.5555555555555556,0.00411522633744856,0.012345679012345678,0.0,0.024691358024691357,0.00411522633744856,0.51440329218107,0.0,Driver Inattention/Distraction,Following Too Closely,Following Too Closely,Steering Failure,Steering Failure,Sedan,Sedan,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
212,40.60951525,-73.77896302,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,Driver Inattention/Distraction,Traffic Control Disregarded,Unspecified,,,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
213,40.60951525,-73.76779816000001,0.21212121212121213,0.0,0.0,0.0,0.0,0.0,0.21212121212121213,0.0,Driver Inattention/Distraction,Other Vehicular,Other Vehicular,,,Sedan,Sedan,Sedan,,
214,40.60951525,-73.7566333,0.32620320855614976,0.0,0.06951871657754011,0.0,0.016042780748663103,0.0,0.23796791443850268,0.0,Driver Inattention/Distraction,Driver Inattention/Distraction,Other Vehicular,Unspecified,,Sedan,Sedan,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
215,40.60951525,-73.74546844000001,0.4666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.4,0.0,Driver Inattention/Distraction,Following Too Closely,Unspecified,,,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
216,40.62016,-74.19206283999999,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,
217,40.62016,-74.18089798,0.2793427230046948,0.0,0.004694835680751174,0.0,0.0,0.0,0.2746478873239437,0.0,Driver Inattention/Distraction,Driver Inattention/Distraction,Pavement Defective,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,Station Wagon/Sport Utility Vehicle
218,40.62016,-74.16973312,0.2826086956521739,0.0008051529790660225,0.04830917874396135,0.0,0.005636070853462158,0.0,0.2278582930756844,0.0008051529790660225,Driver Inattention/Distraction,Driver Inattention/Distraction,Fatigued/Drowsy,Unspecified,Unspecified,Sedan,Sedan,Sedan,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle
219,40.62016,-74.15856826,0.23592233009708738,0.000970873786407767,0.05339805825242718,0.000970873786407767,0.008737864077669903,0.0,0.16893203883495145,0.0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle
220,40.62016,-74.1474034,0.2982308340353833,0.0016849199663016006,0.06908171861836562,0.0008424599831508003,0.007582139848357203,0.0,0.22325189553496208,0.0008424599831508003,Driver Inattention/Distraction,Driver Inattention/Distraction,Following Too Closely,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,PASSENGER VEHICLE
221,40.62016,-74.13623854,0.24397590361445784,0.0030120481927710845,0.05923694779116466,0.002008032128514056,0.010040160642570281,0.0,0.17369477911646586,0.001004016064257028,Driver Inattention/Distraction,Driver Inattention/Distraction,Following Too Closely,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,Sedan
222,40.62016,-74.12507368,0.3264417845484222,0.004352557127312296,0.055495103373231776,0.002176278563656148,0.01088139281828074,0.0,0.2600652883569097,0.002176278563656148,Driver Inattention/Distraction,Driver Inattention/Distraction,Backing Unsafely,Following Too Closely,Unspecified,Sedan,Sedan,Sedan,Sedan,Sedan
223,40.62016,-74.11390882,0.2808460634547591,0.0023501762632197414,0.043478260869565216,0.0,0.0023501762632197414,0.0,0.23501762632197415,0.0023501762632197414,Driver Inattention/Distraction,Driver Inattention/Distraction,Following Too Closely,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle
224,40.62016,-74.10274396,0.2236024844720497,0.0,0.031055900621118012,0.0,0.0,0.0,0.19254658385093168,0.0,Driver Inattention/Distraction,Other Vehicular,Other Vehicular,Drugs (illegal),Drugs (illegal),Sedan,PASSENGER VEHICLE,Sedan,Sedan,Sedan
